id;nombre_cientifico;categoria;grupo;clasificacion_FAO;cultivo;origen_et;origen;vulnerabilidad_et;vulnerabilidad;imp_economica_org;seg_alimentaria_org;incertidumbre;incertidumbre_et;imp_economica;pool_imp_economica;seg_alimentaria;pool_imp_sa;int_banco;int_banco_et
103;Salvia hispanica;EVA's (MADR) List;Plantas aromaticas condimentarias y medicinales;Beverage and spice crops;NA;Close;45;MinorConcern;35;32.72;8;90;Alta;32.72;No;8;No;22.59;Bajo
104;Citrus jambhiri;BGV List;Frutales;Fruits and nuts;Cítricos;Distant;20;NotEvaluated;0;36.38;8;90;Alta;36.38;No;33.92;PCG;27.63;Bajo
105;Erythrina edulis;EVA's (MADR) List;Leguminosas;Leguminous crops;NA;Local;70;MinorConcern;35;50;8;90;Alta;50;No;8;No;15;Bajo
106;Citrus latifolia;BGV List;Frutales;Fruits and nuts;Cítricos;Distant;20;NotEvaluated;0;30;57.5;30;Baja;30;No;57.5;No;29.12;Bajo
107;Mentha pulegium;EVA's (MADR) List;Plantas aromaticas condimentarias y medicinales;Beverage and spice crops;NA;Distant;20;MinorConcern;35;30;37.5;90;Alta;30;No;37.5;No;29.12;Bajo
109;Nephelium lappaceum;EVA's (MADR) List;Frutales;Fruits and nuts;NA;Distant;20;MinorConcern;35;52.39;8;90;Alta;52.39;No;8;No;22.07;Bajo
110;Citrus limon;BGV List;Frutales;Fruits and nuts;Cítricos;Distant;20;NotEvaluated;0;36.38;33.92;90;Alta;36.38;No;33.92;No;27.63;Bajo
111;Stevia rebaudiana;EVA's (MADR) List;Plantas aromaticas condimentarias y medicinales;Beverage and spice crops;NA;Local;70;NotEvaluated;0;30;8;90;Alta;30;No;8;No;55;Medio
112;Citrus lycopersicae;BGV List;Frutales;Fruits and nuts;Cítricos;Distant;20;NotEvaluated;0;36.38;8;90;Alta;36.38;No;33.92;PCG;27.63;Bajo
113;Pourouma cecropiifolia;EVA's (MADR) List;Frutales;Fruits and nuts;NA;Local;70;NotEvaluated;0;30;8;60;Media;30;No;8;No;55;Medio
114;Pleurotus ostreatus;EVA's (MADR) List;Hongos;Vegetables and melons;NA;Distant;20;NotEvaluated;0;30;8;90;Alta;30;No;8;No;15;Bajo
115;Hibiscus sabdariffa;EVA's (MADR) List;Plantas aromaticas condimentarias y medicinales;Beverage and spice crops;NA;Distant;20;NotEvaluated;0;30;8;90;Alta;30;No;8;No;15;Bajo
116;Citrus medica;BGV List;Frutales;Fruits and nuts;Cítricos;Distant;20;MinorConcern;35;36.38;8;90;Alta;36.38;No;33.92;PCG;27.63;Bajo
118;Citrus natsudaidai;BGV List;Frutales;Fruits and nuts;Cítricos;Distant;20;NotEvaluated;0;36.38;8;90;Alta;36.38;No;33.92;PCG;27.63;Bajo
119;Citrus paradisi;BGV List;Frutales;Fruits and nuts;Cítricos;Distant;20;NotEvaluated;0;30;8;90;Alta;30;No;33.92;PCG;24.34;Bajo
120;Citrus reticulata;BGV List;Frutales;Fruits and nuts;Cítricos;Distant;20;MinorConcern;35;55.82;57.5;10;No;55.82;No;57.5;No;29.12;Bajo
121;Citrus sinensis;BGV List;Frutales;Fruits and nuts;Cítricos;Distant;20;NotEvaluated;0;52.74;37.5;10;No;52.74;No;37.5;No;29.12;Bajo
125;Citrus volkameriana;BGV List;Frutales;Fruits and nuts;Cítricos;Distant;20;NotEvaluated;0;36.38;8;90;Alta;36.38;No;33.92;PCG;27.63;Bajo
126;Citrus webberii;BGV List;Frutales;Fruits and nuts;Cítricos;Distant;20;NotEvaluated;0;36.38;8;90;Alta;36.38;No;33.92;PCG;27.63;Bajo
127;Clausena lansium;BGV List;Frutales;Fruits and nuts;Cítricos;Distant;20;MinorConcern;35;8;8;90;Alta;36.38;PCG;33.92;PCG;27.63;Bajo
128;Coccoloba uvifera;BGV List;Otros permanentes;Other crops;Frutales menores;Close;45;NotEvaluated;0;8;8;90;Alta;8;No;8;No;15;Bajo
129;Cocos nucifera;BGV List;Frutales;Fruits and nuts;Coco;Distant;20;MinorConcern;35;54.35;56.54;30;Baja;54.35;No;56.54;No;27.84;Bajo
130;Cucurbita ficifolia;BGV List;Hortalizas;Vegetables and melons;Cucurbitaceas;Close;45;NotEvaluated;0;8;30;90;Alta;52.36;GP;30;No;22.02;Bajo
131;Cucurbita maxima;BGV List;Hortalizas;Vegetables and melons;Cucurbitaceas;Close;45;NotEvaluated;0;50.53;73.92;60;Media;50.53;No;73.92;No;24.34;Bajo
132;Cucurbita moschata;BGV List;Hortalizas;Vegetables and melons;Cucurbitaceas;Close;45;NotEvaluated;0;52.36;57.5;10;No;52.36;No;57.5;No;29.12;Bajo
133;Cucurbita pepo;BGV List;Hortalizas;Vegetables and melons;Cucurbitaceas;Close;45;NotEvaluated;0;50;8;90;Alta;50;No;57.5;GP;29.12;Bajo
